num_containers,timestamp
1695,1691420116
4276,1664703797
7930,1678489113
14261,1688915136
9267,1688044582
1596,1672010035
3154,1678228193
2561,1670200581
12204,1675234122
14622,1670959016
1959,1682207654
14952,1689293774
11649,1673576338
3081,1665944735
2596,1674005948
8837,1686540661
11665,1679230901
13642,1668735388
1130,1681496728
5302,1665591846
7041,1692278341
12445,1670360273
10112,1679422707
6049,1680837322
3805,1671950190
4718,1674391815
5018,1693780789
7641,1669310497
1373,1673520300
8940,1666211703
6876,1665287643
1137,1677356561
4031,1666765195
13137,1679380814
5251,1667694605
6704,1682219733
11223,1680266218
11034,1674583124
12390,1674366666
11118,1673856714
9607,1685343375
9261,1672204971
12812,1668940869
1278,1672039815
13945,1686754598
8859,1683451204
9194,1678351522
4718,1670053792
6513,1692744191
11744,1681441123
4701,1694040972
6622,1675140539
5717,1692934219
11956,1681001604
1454,1670592901
5464,1667568094
10716,1665275821
2302,1690956154
4345,1683999536
1175,1676310113
13491,1677938643
3045,1669392308
8610,1695958285
10237,1686433451
9642,1669344032
5686,1689778502
14930,1689283337
1649,1666851939
1642,1668338197
6066,1674655123
2158,1672371064
9572,1694675024
10017,1689514721
8255,1683956965
7246,1692328037
3869,1668111144
9896,1687182155
10420,1690049664
7169,1676335697
2228,1673505790
14941,1689036855
3622,1665998691
9157,1687429731
5914,1680661016
6825,1694386814
2443,1675196644
7709,1677430860
14462,1669822404
2125,1672755968
9286,1695798983
850,1668302285
2145,1680994796
790,1669679762
4445,1673310713
14566,1669407482
9011,1691078917
1731,1680387193
3457,1686585375
1962,1670128976
7269,1695081300
10275,1676702875
1739,1680770952
4653,1678142837
9474,1684169314
11958,1671690327
12604,1688365154
14274,1671145843
14723,1670691405
8397,1686277847
10634,1694816908
14951,1674003608
7400,1690043395
7081,1666480047
9674,1669213656
12903,1677650975
14104,1665530564
9757,1685088451
5884,1671616057
3580,1675045463
14717,1682826488
6576,1693535542
2713,1695989471
13627,1678758194
4415,1686813108
7098,1685982987
8962,1674317247
3472,1675483513
7859,1672886426
3660,1667543648
9674,1686032646
5545,1694838077
12919,1673964630
13747,1671324622
9104,1685317234
13028,1686741056
9057,1694362245
13776,1688010667
